"psig","qval","med_q_val","is_sig"
0.1002,0.0947858,0.103042,FALSE
0,0.529472,0.488383,FALSE
0,0.627798,0.578258,FALSE
1,0.00509517,0.00641627,TRUE
0.00200401,0.736907,0.835162,FALSE
0,0.993085,0.978044,FALSE
0.00400802,0.895305,0.917672,FALSE
0,0.891843,0.87109,FALSE
0,0.775726,0.845631,FALSE
0.200401,0.118594,0.0881971,FALSE
1,0.0127788,0.0128133,TRUE
0,0.328938,0.466059,FALSE
0,0.941899,0.87216,FALSE
0.785571,0.0383957,0.0331137,TRUE
0,0.998435,0.998422,FALSE
0.0240481,0.156658,0.13343,FALSE
0,0.724035,0.780857,FALSE
0,0.645259,0.664409,FALSE
0,0.372984,0.353272,FALSE
0.49499,0.0321993,0.0501509,TRUE
0,0.998435,0.998419,FALSE
0,0.998435,0.998407,FALSE
1,0.0164061,0.00726415,TRUE
0,0.336527,0.342629,FALSE
0.00200401,0.917989,0.852344,FALSE
0.997996,4.61877e-06,9.39589e-05,TRUE
0,0.586671,0.582338,FALSE
0.0180361,0.296751,0.318384,FALSE
0,0.673007,0.699728,FALSE
1,2.6925e-05,5.66795e-05,TRUE
0.0320641,0.255339,0.494349,FALSE
0.0160321,0.378676,0.379496,FALSE
0.945892,0.00833319,0.0144583,TRUE
1,0.00143948,0.00167563,TRUE
0,0.998435,0.998402,FALSE
0.0841683,0.0714162,0.0775001,FALSE
0.416834,0.0638227,0.0578723,FALSE
0,0.334883,0.455439,FALSE
0.256513,0.0393024,0.0605465,TRUE
0,0.226206,0.404499,FALSE
0,0.624124,0.641108,FALSE
0,0.969789,0.963798,FALSE
0,0.526115,0.570233,FALSE
0,0.435698,0.505521,FALSE
0,0.998435,0.998412,FALSE
0,0.992679,0.977922,FALSE
0,0.998435,0.998422,FALSE
0,0.998435,0.998422,FALSE
1,1.01377e-05,1.50449e-05,TRUE
0,0.719646,0.686179,FALSE
0.0200401,0.672526,0.668607,FALSE
0,0.998435,0.998422,FALSE
0,0.21305,0.273537,FALSE
0,0.666896,0.701401,FALSE
0,0.998435,0.998422,FALSE
1,0.000499713,0.000519504,TRUE
0,0.941011,0.910111,FALSE
0,0.998435,0.998419,FALSE
0.0140281,0.171527,0.173048,FALSE
0.00400802,0.211309,0.206028,FALSE
0.188377,0.0865056,0.0913937,FALSE
0,0.998435,0.998422,FALSE
0,0.852537,0.887775,FALSE
1,1.63036e-09,2.78144e-09,TRUE
0,0.998435,0.99841,FALSE
0.00601202,0.284065,0.316977,FALSE
0.0200401,0.153886,0.158335,FALSE
0,0.544241,0.607215,FALSE
0.470942,0.0560095,0.0508678,FALSE
0,0.998435,0.998394,FALSE
0.0160321,0.163905,0.194909,FALSE
0,0.998435,0.998422,FALSE
0,0.754798,0.804305,FALSE
0,0.998435,0.998422,FALSE
0,0.998435,0.467883,FALSE
0,0.829429,0.869531,FALSE
0.154309,0.051532,0.158302,FALSE
0,0.998435,0.998407,FALSE
0,0.612356,0.625586,FALSE
0.0280561,0.094436,0.119791,FALSE
0.00601202,0.677644,0.720199,FALSE
0,0.938569,0.981692,FALSE
0,0.998435,0.998418,FALSE
0,0.919751,0.929926,FALSE
0.0901804,0.120471,0.125383,FALSE
0.336673,0.0876266,0.0731891,FALSE
0,0.833457,0.734747,FALSE
0.991984,0.017266,0.0223608,TRUE
0,0.524454,0.539822,FALSE
0,0.75944,0.730868,FALSE
0,0.353058,0.360589,FALSE
0,0.754798,0.700177,FALSE
0,0.998435,0.998404,FALSE
0,0.486427,0.819125,FALSE
0,0.139129,0.134186,FALSE
0.00200401,0.264261,0.236217,FALSE
1,0.00022684,0.000252403,TRUE
1,6.16409e-08,6.42117e-08,TRUE
0.0140281,0.180824,0.217131,FALSE
0,0.499374,0.509102,FALSE
0.00200401,0.428863,0.448056,FALSE
0,0.217192,0.191216,FALSE
0,0.18454,0.180096,FALSE
0,0.579898,0.569603,FALSE
0.0921844,0.0708026,0.0793449,FALSE
0.581162,0.0349922,0.045654,TRUE
0,0.676653,0.649385,FALSE
0,0.842736,0.897349,FALSE
0,0.998435,0.9984,FALSE
0.0180361,0.102179,0.214532,FALSE
0,0.998435,0.998401,FALSE
0,0.998435,0.998422,FALSE
0,0.998435,0.997285,FALSE
0,0.998435,0.998404,FALSE
0,0.351072,0.434702,FALSE
0,0.632048,0.998391,FALSE
0,0.998435,0.998386,FALSE
0,0.429309,0.530117,FALSE
0,0.998435,0.998422,FALSE
0.122244,0.0753361,0.0727257,FALSE
0,0.998435,0.998422,FALSE
0,0.822574,0.817444,FALSE
0,0.996771,0.989266,FALSE
0,0.409279,0.595562,FALSE
0,0.678773,0.660279,FALSE
1,3.293e-05,0.000404059,TRUE
0,0.998435,0.998396,FALSE
0,0.700716,0.703254,FALSE
0,0.998435,0.998422,FALSE
0,0.912195,0.937525,FALSE
0.995992,0.0136791,0.016911,TRUE
0,0.413388,0.431189,FALSE
0,0.971045,0.944358,FALSE
0.0400802,0.100186,0.337427,FALSE
