"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120","X121","X122","X123","X124","X125","X126","X127","X128","X129","X130","X131","X132","X133","X134","X135","X136","X137","X138","X139","X140","X141","X142","X143","X144","X145","X146","X147","X148","X149","X150","X151","X152","X153","X154","X155"
0.500001,0.500001,0.5,0.5,0.5,0.5,0.5,0.499999,0.5,0.499999,0.499999,0.5,0.500001,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.500001,0.499999,0.500001,0.5,0.500001,0.5,0.500001,0.5,0.500001,0.5,0.500001,0.5,0.499999,0.500001,0.500001,0.5,0.5,0.5,0.499999,0.5,0.500001,0.499999,0.499999,0.499999,0.5,0.500001,0.5,0.499999,0.499999,0.5,0.5,0.499999,0.5,0.5,0.5,0.5,0.5,0.5,0.500001,0.499999,0.499999,0.500001,0.5,0.500001,0.500001,0.499999,0.500001,0.5,0.499999,0.500001,0.500001,0.499999,0.5,0.500001,0.500001,0.5,0.500001,0.500001,0.500001,0.5,0.5,0.500001,0.500001,0.5,0.500001,0.500001,0.5,0.500001,0.5,0.5,0.500001,0.499999,0.500001,0.5,0.5,0.499999,0.5,0.499999,0.5,0.500001,0.500001,0.500001,0.5,0.500001,0.500001,0.500001,0.5,0.499999,0.5,0.499999,0.5,0.500001,0.5,0.5,0.499999,0.5,0.5,0.5,0.499999,0.5,0.499999,0.499999,0.5,0.5,0.500001,0.5,0.5,0.5,0.5,0.500001,0.500001,0.499999,0.5,0.500001,0.5,0.5,0.499999,0.500001,0.5,0.499999,0.500001,0.499999,0.500001,0.499999,0.500001,0.499999,0.5,0.5,0.5,0.500001,0.499999,0.5
0.00467709,0.0686349,0.283272,0.829178,0.185197,0.242047,0.331981,0.692234,0.0797495,0.183026,0.929251,0.959015,0.490008,0.318521,0.955761,0.379318,0.895298,0.0502276,0.173798,0.576357,0.844803,0.266273,0.191078,0.808986,0.0882477,0.941013,0.029498,0.936103,0.842055,0.0238887,0.455723,0.662775,0.0434996,0.738021,0.846307,0.0649161,0.450605,0.368907,0.447311,0.851172,0.651928,0.445038,0.00639954,0.57436,0.877345,0.89738,0.0158802,0.987803,0.113358,0.907995,0.867788,0.138052,0.777616,0.192246,0.696399,0.0411155,0.793856,0.0893045,0.954484,0.889471,0.674032,0.289283,0.676787,0.57553,0.865754,0.915285,0.570136,0.723801,0.114322,0.591487,0.312262,0.175962,0.758776,0.335101,0.755373,0.324907,0.500301,0.913658,0.916624,0.251542,0.521634,0.180228,0.739919,0.437148,0.969628,0.368998,0.958966,0.172345,0.121804,0.263888,0.44951,0.911773,0.763475,0.149359,0.244068,0.794445,0.608685,0.307576,0.612238,0.95517,0.149642,0.689491,0.748234,0.215837,0.82666,0.753579,0.521244,0.96193,0.91262,0.744145,0.72887,0.945047,0.938253,0.985888,0.995451,0.606348,0.214949,0.123394,0.0939337,0.67244,0.510149,0.242665,0.208465,0.768769,0.0777627,0.760453,0.0451702,0.208167,0.558112,0.581216,0.169625,0.294026,0.375903,0.309571,0.691672,0.337351,0.801169,0.787137,0.797826,0.638757,0.251055,0.700888,0.935821,0.601851,0.612176,0.114225,0.023705,0.78804,0.506635,0.984001,0.983333,0.683514,0.929896,0.502741,0.911203
0.152279,0.184646,0.188056,0.435485,0.407771,0.926568,0.0750837,0.523499,0.657143,0.0346082,0.319222,0.026647,0.565412,0.645568,0.850145,0.794373,0.8145,0.096444,0.282655,0.839241,0.379807,0.107274,0.938935,0.446363,0.26859,0.244806,0.509088,0.605136,0.516297,0.205403,0.41747,0.972096,0.178603,0.520422,0.0417809,0.595703,0.940729,0.578925,0.454769,0.735587,0.315498,0.51906,0.649756,0.427434,0.647974,0.469549,0.0970003,0.236076,0.0059812,0.353518,0.960718,0.358552,0.611275,0.473408,0.759017,0.840865,0.770098,0.158097,0.672076,0.75219,0.462691,0.619093,0.43237,0.1299,0.600051,0.433166,0.344767,0.879065,0.403885,0.0400636,0.0140718,0.829101,0.133438,0.288562,0.731179,0.0400105,0.652865,0.315958,0.579947,0.222325,0.376853,0.645969,0.132955,0.829516,0.674351,0.539009,0.943983,0.237397,0.372187,0.925508,0.690118,0.569064,0.782156,0.0526192,0.550549,0.852672,0.456615,0.421658,0.778115,0.977894,0.818189,0.895963,0.474106,0.998152,0.967874,0.948727,0.949987,0.322514,0.406676,0.913191,0.692077,0.697377,0.025695,0.840927,0.894013,0.894839,0.99612,0.773688,0.976516,0.952058,0.983237,0.915703,0.161331,0.0745618,0.268525,0.853347,0.309519,0.410282,0.593524,0.93689,0.436942,0.359399,0.782738,0.75986,0.685827,0.913623,0.628456,0.896398,0.949265,0.46046,0.565776,0.402367,0.921968,0.546391,0.866038,0.130024,0.267245,0.73874,0.417558,0.512588,0.388508,0.52997,0.157357,0.559013,0.840555
0.319721,0.221999,0.0349809,0.0335676,0.206638,0.875089,0.575731,0.0344714,0.417614,0.0349882,0.715054,0.264934,0.422837,0.0136807,0.28561,0.136846,0.246733,0.0864934,0.223454,0.554108,0.0241997,0.256593,0.176105,0.362708,0.501164,0.0620626,0.280758,0.0325049,0.00316362,0.34299,0.424707,0.131612,0.300702,0.203732,0.35173,0.251938,0.511657,0.206449,0.215733,0.0521662,0.0409322,0.601684,0.487867,0.0072977,0.381002,0.38494,0.3756,0.0607303,0.118952,0.311935,0.629901,0.42462,0.996811,0.655545,0.682045,0.302897,0.54471,0.0914077,0.695533,0.95391,0.258829,0.696194,0.82017,0.263893,0.181099,0.747976,0.458546,0.6667,0.197191,0.0894442,0.779389,0.934696,0.728998,0.37502,0.517426,0.245982,0.388136,0.375391,0.906504,0.486255,0.332876,0.935985,0.799006,0.401414,0.565008,0.825276,0.645297,0.753792,0.202885,0.811673,0.374592,0.63378,0.515927,0.805929,0.882879,0.564453,0.902451,0.275102,0.677573,0.66446,0.769998,0.687494,0.418246,0.916588,0.837611,0.781942,0.735352,0.554035,0.848245,0.88234,0.267403,0.728949,0.435375,0.926199,0.774974,0.315864,0.66934,0.701564,0.872444,0.7503,0.404225,0.373602,0.733714,0.479991,0.815893,0.536492,0.872216,0.505368,0.393404,0.809663,0.00293801,0.89232,0.502917,0.885125,0.475198,0.83802,0.0225841,0.826514,0.696628,0.69555,0.598526,0.198156,0.679943,0.525906,0.74814,0.402522,0.498133,0.897127,0.686737,0.941913,0.717406,0.402181,0.664885,0.640697,0.750928
0.0991382,0.0176338,0.126993,0.101674,0.0827215,0.773918,0.0993229,0.29985,0.0979685,0.272841,0.207639,0.181253,0.112099,0.290747,0.0816991,0.052696,0.0814003,0.0718747,0.110517,0.0555303,0.0536382,0.0273187,0.0522359,0.0647946,0.213618,0.218363,0.0576644,0.0455976,0.048231,0.100789,0.0240391,0.0724861,0.0305556,0.0482132,0.278154,0.0176277,0.141165,0.064442,0.0791859,0.0346199,0.145219,0.152219,0.368776,0.0084277,0.248554,0.00610258,0.210514,0.229727,0.0668809,0.130959,0.831405,0.55345,0.907167,0.846799,0.434947,0.467187,0.848263,0.149534,0.872036,0.701415,0.115737,0.794366,0.48529,0.52949,0.328289,0.674227,0.670639,0.758124,0.469843,0.369137,0.752776,0.661283,0.574053,0.638723,0.638763,0.339397,0.433608,0.468666,0.866956,0.267051,0.391677,0.628246,0.675534,0.12482,0.632515,0.80416,0.890023,0.604743,0.106834,0.775001,0.359039,0.576714,0.917448,0.76774,0.869077,0.356212,0.878142,0.626649,0.797494,0.704653,0.843419,0.967953,0.282425,0.810575,0.887872,0.746685,0.773671,0.787579,0.769157,0.936477,0.377038,0.810615,0.491314,0.690032,0.333033,0.539108,0.74907,0.811918,0.770232,0.638448,0.679551,0.613398,0.742145,0.744712,0.86875,0.674244,0.997555,0.803024,0.346556,0.803299,0.300415,0.719104,0.747801,0.863604,0.30337,0.956659,0.401587,0.983594,0.776264,0.631905,0.626538,0.639802,0.619751,0.775405,0.714507,0.447096,0.94401,0.641426,0.669721,0.959317,0.675544,0.57984,0.156876,0.523969,0.663042
0.071967,0.0300868,0.0836839,0.0514189,0.123284,0.972699,0.122133,0.325835,0.0867354,0.0576852,0.104591,0.19901,0.19778,0.292005,0.113344,0.0882414,0.0178715,0.0570554,0.107808,0.105351,0.0486175,0.0240431,0.112801,0.0861967,0.225069,0.292152,0.0447232,0.0746161,0.0595523,0.00790488,0.0136568,0.224383,0.00434836,0.165231,0.257779,0.0948239,0.310187,0.011463,0.16751,0.0367874,0.27586,0.113883,0.424204,0.161561,0.318957,0.0445633,0.0631196,0.163362,0.0338597,0.165809,0.887489,0.590087,0.857598,0.799804,0.461649,0.351039,0.73487,0.328547,0.9341,0.832637,0.00195103,0.89259,0.548463,0.370768,0.430782,0.720446,0.505753,0.833846,0.582977,0.455837,0.892582,0.788973,0.558089,0.77263,0.664695,0.344348,0.45051,0.581651,0.847252,0.195591,0.412469,0.709653,0.757702,0.265826,0.613677,0.732113,0.698572,0.702827,0.229627,0.794638,0.492338,0.875414,0.763548,0.775594,0.902102,0.432566,0.848621,0.691253,0.708146,0.778592,0.798941,0.807193,0.522234,0.919934,0.984997,0.568502,0.909495,0.963786,0.786675,0.910219,0.416213,0.840861,0.661591,0.791079,0.41022,0.520467,0.898443,0.77366,0.940869,0.67705,0.797887,0.794429,0.719469,0.637928,0.758766,0.688487,0.931606,0.621182,0.463486,0.937873,0.403682,0.713197,0.866823,0.872189,0.483327,0.879868,0.466629,0.845493,0.985486,0.869006,0.636969,0.533827,0.785405,0.689329,0.979957,0.529163,0.804561,0.617705,0.560105,0.936133,0.839172,0.640868,0.295082,0.515703,0.730859
0.0659839,0.053677,0.0764842,0.053507,0.0467293,0.901081,0.0619645,0.281432,0.146223,0.255039,0.158114,0.160044,0.213215,0.349131,0.116369,0.196677,0.118497,0.0512108,0.0996491,0.0489835,0.289629,0.10641,0.0416494,0.0531986,0.191091,0.359959,0.13597,0.0143003,0.0244294,0.0412096,0.129608,0.152376,0.0273481,0.165056,0.228451,0.0458154,0.261196,0.111681,0.183584,0.0221118,0.202229,0.152793,0.416627,0.0964246,0.373159,0.0320528,0.0619255,0.241445,0.0443462,0.0658402,0.898963,0.492945,0.80407,0.683581,0.366077,0.286728,0.660227,0.348368,0.743048,0.963786,0.224848,0.828977,0.437573,0.533131,0.451701,0.687626,0.45806,0.904683,0.531419,0.390421,0.803471,0.950915,0.617333,0.790644,0.641433,0.373565,0.46565,0.461196,0.77828,0.377087,0.504431,0.772372,0.887513,0.276061,0.677242,0.822791,0.893783,0.588206,0.211249,0.709426,0.564543,0.708529,0.722205,0.638504,0.969125,0.438725,0.944752,0.690929,0.687049,0.839925,0.978571,0.974022,0.443058,0.912573,0.925178,0.648542,0.80562,0.683426,0.97341,0.981617,0.436004,0.989722,0.55601,0.663897,0.340177,0.466909,0.971081,0.802835,0.805155,0.687971,0.582107,0.664035,0.987506,0.619475,0.881173,0.829724,0.844591,0.61724,0.415021,0.965373,0.365747,0.672193,0.832139,0.883171,0.478863,0.927345,0.582671,0.926938,0.839254,0.797039,0.659295,0.504552,0.6888,0.765321,0.747418,0.539558,0.953707,0.740653,0.618198,0.849664,0.897201,0.671985,0.274295,0.555812,0.535897
0.0983699,0.121535,0.108137,0.0591545,0.131061,0.905995,0.133308,0.326032,0.157702,0.17456,0.20045,0.188043,0.137671,0.365206,0.110701,0.161027,0.0424705,0.136314,0.0990856,0.0762166,0.0915233,0.140066,0.0781583,0.0296898,0.217014,0.215776,0.0827536,0.0282127,0.0748949,0.0734767,0.126743,0.107635,0.0429858,0.161149,0.11984,0.118697,0.298974,0.0260695,0.134228,0.138466,0.259919,0.171525,0.30902,0.0225739,0.299045,0.0463569,0.016429,0.129435,0.0717607,0.198641,0.750901,0.49056,0.772599,0.717712,0.367987,0.437428,0.640067,0.274958,0.736771,0.691347,0.0960748,0.782462,0.448728,0.593738,0.461525,0.9971,0.425483,0.71908,0.523865,0.403457,0.981171,0.712245,0.608748,0.765576,0.663718,0.315227,0.381499,0.453658,0.998321,0.270381,0.471249,0.813082,0.89135,0.269059,0.655211,0.901694,0.748694,0.487887,0.155385,0.752519,0.468824,0.705222,0.778336,0.87106,0.778417,0.407566,0.78536,0.579062,0.571372,0.946698,0.890018,0.833832,0.469918,0.97784,0.884128,0.68688,0.658867,0.854681,0.86668,0.957982,0.395671,0.948531,0.481187,0.671269,0.397159,0.424551,0.962596,0.761219,0.590849,0.766931,0.496058,0.739598,0.831589,0.783566,0.926488,0.735514,0.90119,0.604151,0.353915,0.970946,0.404464,0.549595,0.835738,0.821329,0.470661,0.693057,0.441262,0.886968,0.962317,0.667215,0.628296,0.48778,0.935044,0.912639,0.769135,0.444199,0.872546,0.585771,0.581501,0.944746,0.787469,0.534941,0.345293,0.519891,0.754936
0.097866,0.111125,0.23226,0.12836,0.0838965,0.993417,0.045078,0.342344,0.104547,0.269483,0.212323,0.154702,0.236699,0.382158,0.162105,0.0583978,0.00530427,0.0874564,0.0272611,0.0975688,0.203433,0.0984295,0.141294,0.166888,0.211959,0.159846,0.0909113,0.0159816,0.150388,0.0265726,0.165225,0.167689,0.10279,0.160625,0.227865,0.0533957,0.254748,0.125216,0.196633,0.135884,0.137654,0.088457,0.387336,0.103605,0.234657,0.120398,0.278609,0.166966,0.065487,0.113929,0.741973,0.547507,0.781412,0.600189,0.411298,0.400977,0.855831,0.268847,0.94487,0.720294,0.157251,0.842566,0.583222,0.444207,0.434363,0.865477,0.376959,0.908666,0.41122,0.501853,0.72877,0.776986,0.664702,0.84626,0.610203,0.363553,0.474716,0.572929,0.932326,0.318964,0.423486,0.88019,0.892644,0.286292,0.668628,0.774418,0.910544,0.626754,0.197054,0.908109,0.449091,0.633096,0.793253,0.771317,0.918067,0.383543,0.864106,0.621238,0.63289,0.909117,0.857594,0.89978,0.412729,0.772038,0.950336,0.725203,0.689242,0.853568,0.730543,0.984965,0.322947,0.856938,0.53717,0.679326,0.379985,0.430062,0.845105,0.923842,0.658673,0.642314,0.653281,0.661267,0.814918,0.580211,0.884238,0.769422,0.83638,0.791293,0.532375,0.928031,0.364048,0.684351,0.716624,0.898136,0.392634,0.941936,0.367341,0.881708,0.826465,0.750232,0.646189,0.603982,0.848316,0.984854,0.818722,0.388988,0.873392,0.59657,0.653731,0.934592,0.977726,0.656813,0.310867,0.507995,0.905538
0.000591865,0.0151781,0.149746,0.0299474,0.0510703,0.721354,0.0256554,0.306445,0.139473,0.184494,0.172601,0.101983,0.146604,0.267682,0.148065,0.0340578,0.0377379,0.0303176,0.116867,0.119646,0.12543,0.124853,0.0323027,0.108761,0.229568,0.334099,0.0580571,0.024121,0.158086,0.035739,0.0425518,0.0376118,0.0309237,0.0483923,0.229676,0.0737009,0.281468,0.055289,0.217648,0.043326,0.204119,0.136864,0.385321,0.0227763,0.1912,0.0388771,0.177791,0.209607,0.0388309,0.280125,0.705292,0.529484,0.986851,0.844906,0.358693,0.443272,0.70583,0.308241,0.718012,0.910535,0.155794,0.710857,0.486869,0.459927,0.440547,0.58985,0.472803,0.605018,0.463209,0.45028,0.656028,0.763969,0.593117,0.64352,0.617722,0.358997,0.541624,0.474765,0.837643,0.354625,0.484244,0.689814,0.86709,0.282408,0.659786,0.940875,0.852065,0.546354,0.196844,0.978744,0.351719,0.669288,0.737163,0.817127,0.83225,0.414025,0.755695,0.5912,0.884235,0.963219,0.925014,0.923962,0.433943,0.784858,0.675996,0.761078,0.970443,0.689686,0.894117,0.960628,0.395445,0.925791,0.474035,0.533267,0.377471,0.414703,0.721997,0.953556,0.680912,0.607194,0.628512,0.646099,0.751223,0.611344,0.841326,0.76058,0.701302,0.632627,0.443481,0.834818,0.378143,0.584861,0.884059,0.970441,0.428761,0.838138,0.3657,0.913,0.857519,0.729063,0.615308,0.461159,0.689316,0.654578,0.960687,0.442896,0.945865,0.597227,0.474792,0.937544,0.840494,0.634355,0.213635,0.471639,0.625306
